battery_kwh,round,pmarl_prize,tl_prize,pmarl_time_ms,tl_time_ms
0.5,1,1012.30,1012.30,133.31,133.31
0.5,2,1009.50,982.10,126.04,115.15
0.5,3,1022.10,885.20,128.82,99.74
0.5,4,1020.80,889.30,80.30,96.97
0.5,5,1040.90,931.50,91.44,163.79
0.5,6,979.80,887.60,94.14,114.12
0.5,7,1009.40,916.10,89.89,172.05
0.5,8,980.30,900.90,93.66,110.69
0.5,9,1034.30,906.60,93.44,120.64
0.5,10,1027.80,959.60,107.20,108.55
1.0,1,2193.20,2193.20,552.58,552.58
1.0,2,2192.10,1973.40,376.80,492.36
1.0,3,2188.40,1982.00,461.87,500.31
1.0,4,2071.90,1957.60,553.58,548.38
1.0,5,2264.20,1829.30,493.14,379.65
1.0,6,2109.10,1807.20,484.26,484.82
1.0,7,2169.30,1763.60,464.11,481.50
1.0,8,2259.10,1794.40,542.37,461.37
1.0,9,2180.20,1769.20,531.40,410.30
1.0,10,2238.70,1556.40,495.32,370.63
1.5,1,2893.60,2893.60,776.93,776.93
1.5,2,2952.80,2821.90,665.71,857.70
1.5,3,3067.00,2732.90,584.58,782.92
1.5,4,3089.90,2744.40,645.01,617.11
1.5,5,3148.30,2609.90,569.58,743.94
1.5,6,3056.30,2641.70,681.21,767.95
1.5,7,3151.50,2553.40,759.83,638.08
1.5,8,3083.80,2625.40,644.74,794.95
1.5,9,3109.50,2376.20,669.58,663.51
1.5,10,3255.60,2615.20,649.01,656.94
2.0,1,3853.50,3853.50,936.32,936.32
2.0,2,3714.20,3489.90,946.61,847.42
2.0,3,3732.20,3531.90,1060.70,889.48
2.0,4,3653.20,3192.50,1033.82,1208.57
2.0,5,3687.60,3124.00,759.83,804.60
2.0,6,3690.40,3135.40,932.87,946.44
2.0,7,3666.10,3053.00,875.58,1308.29
2.0,8,3906.10,3128.40,876.86,848.50
2.0,9,3663.00,2910.00,768.76,770.30
2.0,10,3868.10,3072.20,877.63,804.41
